"","id","country","c3","c2","year","gini","gem1","ge0","ge1","ge2","a025","a050","a075","a1","a2","palma","ratio_top20bottom20","bottom40","q1","q2","q3","q4","q5","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10","bottom5","top5","resource","resource_detailed","scale","scale_detailed","sharing_unit","reference_unit","areacovr","areacovr_detailed","popcovr","popcovr_detailed","region_un","region_un_sub","region_wb","eu","oecd","incomegroup","mean","median","currency","reference_period","exchangerate","mean_usd","median_usd","gdp","population","revision","quality","quality_score","source","source_detailed","source_comments","survey","link","wiidcompanion"
"1085",6601,"Finland","FIN","FI",2018,27.39,46.82,12.79,13.78,19.24,3.29,6.34,9.22,12.01,48.36,0.97,3.94,23.32,9.36,13.96,17.4,22.38,36.91,3.82,5.54,6.55,7.41,8.24,9.16,10.41,11.97,14.24,22.66,1.59,14.05,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Northern Europe","Europe and Central Asia","EU","OECD","High income",19395,16902,"Euro","Year",NA,NA,NA,48159,5522585,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"Yes"
"1086",6611,"Finland","FIN","FI",2019,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,3.7,23.8,9.7,14.1,17.8,22.5,35.9,4.1,5.6,6.6,7.5,8.4,9.4,10.6,11.9,13.8,22.1,1.7,13.8,"Income (net)","Income, net","Equivalized","OECD-modified","Household","Person","All","All","All","All","Europe","Northern Europe","Europe and Central Asia","EU","OECD","High income",28061,24879,"Euro","Year",NA,NA,NA,48668,5532159,"New 2021","High",13,"Eurostat","Eurostat Data browser",NA,"European Union Statistics on Income and Living Conditions (EU-SILC)","https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database","No"
"1087",6612,"France","FRA","FR",1956,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94,17.62,11.6,2.9,8.7,14.6,22.7,51.1,0.7,2.2,3.3,5.4,6.8,7.8,10.3,12.4,17,34.1,NA,22.4,"Earnings","Taxable income, gross","No adjustment","No adjustment","Household","Household","All","All","Specific categories","Households with positive or zero taxable incomes","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",NA,NA,NA,NA,NA,NA,NA,12384,43808996,NA,"Low",7,"United Nations","UNECE 1967",NA,NA,NA,"No"
"1088",6614,"France","FRA","FR",1962,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Earnings","Taxable income, gross","No adjustment","No adjustment","Household","Household","All","All","Specific categories","Households with positive or zero taxable incomes","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",NA,NA,NA,NA,0.202549695406284,NA,NA,15494,46907044,NA,"Average",5,"United Nations","United Nations 1981",NA,"Enquete sur les revenus fiscaux des menages",NA,"No"
"1089",6617,"France","FRA","FR",1965,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Earnings","Taxable income, gross","No adjustment","No adjustment","Household","Household","All","All","Specific categories","Households with positive or zero taxable incomes","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",NA,NA,NA,NA,0.202549695406284,NA,NA,17603,48746652,NA,"Average",5,"United Nations","United Nations 1981",NA,"Enquete sur les revenus fiscaux des menages",NA,"No"
"1090",6621,"France","FRA","FR",1970,41.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,10.91,14.1,4.3,9.8,16.3,22.7,46.9,1.4,2.9,4.2,5.6,7.4,8.9,9.7,13,16.5,30.4,NA,NA,"Income (net)","Income, net","No adjustment","No adjustment","Household","Household","All","All","Specific categories","Households with positive or zero taxable incomes","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",NA,NA,NA,NA,0.180044254730221,NA,NA,21914,50763920,NA,"Average",11,"Research study","Sawyer 1976",NA,"Enquete sur les revenus fiscaux des menages",NA,"No"
"1091",6625,"France","FRA","FR",1975,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,5.99,18.7,7.1,11.6,16,22.8,42.5,2.6,4.5,5.3,6.3,7.3,8.7,10.2,12.6,16.3,26.2,NA,NA,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",NA,NA,NA,NA,0.233219859373993,NA,NA,24886,52688576,NA,"Average",13,"Research study","van Ginneken and Park 1984",NA,"Enquete sur les revenus fiscaux des menages",NA,"Yes"
"1092",6626,"France","FRA","FR",1978,35.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,6.02,18.99,7.03,11.96,16.27,22.41,42.33,2.55,4.48,5.48,6.49,7.52,8.75,10.26,12.15,15.18,27.15,NA,NA,"Income (net/gross)","Income, net/gross","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",12422,10129,"US$2011PPP","Year",NA,NA,NA,27350,53423112,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","No"
"1093",6627,"France","FRA","FR",1979,35.39,43.21,22.63,24.38,52.23,5.66,10.73,15.51,20.25,46.36,1.45,6.17,18.84,6.88,11.96,16.28,22.44,42.44,2.41,4.47,5.48,6.49,7.53,8.75,10.28,12.16,15.2,27.24,0.69,17.64,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",13531,11014,"US$2017PPP","Year",NA,NA,NA,28106,53637076,"New 2021","High",13,"Luxembourg Income Study","Luxembourg Income Study (LIS)","Own construction based on LIS Database through LISSY","Household Budget Survey (BdF)",NA,"Yes"
"1094",6642,"France","FRA","FR",1984,36.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,6.73,18.34,6.46,11.88,16.19,22,43.47,2.16,4.3,5.41,6.47,7.53,8.67,10.1,11.9,14.58,28.89,NA,NA,"Income (net/gross)","Income, net/gross","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",12542,10142,"US$2011PPP","Year",NA,NA,NA,29544,54965168,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","No"
"1095",6648,"France","FRA","FR",1985,38.41,51.82,25,28,57.21,6.42,11.99,17.11,22.12,50.89,1.69,8.08,17.33,5.46,11.87,16.32,22.26,44.09,1.24,4.21,5.39,6.49,7.58,8.74,10.21,12.05,14.78,29.31,-0.13,19.99,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",13430,10946,"US$2017PPP","Year",NA,NA,NA,29828,55254840,"New 2021","High",13,"Luxembourg Income Study","Luxembourg Income Study (LIS)","Own construction based on LIS Database through LISSY","Household Budget Survey (BdF)",NA,"Yes"
"1096",6660,"France","FRA","FR",1989,32.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,5.29,20.28,7.54,12.74,17.11,22.75,39.87,2.79,4.74,5.82,6.92,7.98,9.13,10.47,12.28,15.14,24.73,NA,NA,"Income (net/gross)","Income, net/gross","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",12625,10775,"US$2011PPP","Year",NA,NA,NA,33227,56404304,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","No"
"1097",6661,"France","FRA","FR",1990,33.01,37.84,17.94,18.11,26.52,4.36,8.47,12.44,16.42,43.08,1.27,5.76,19.73,6.98,12.75,17.19,22.87,40.22,2.28,4.7,5.81,6.93,8.01,9.18,10.53,12.34,15.26,24.96,0.48,15.4,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",13649,11677,"US$2017PPP","Year",NA,NA,NA,33894,56666860,"New 2021","High",13,"Luxembourg Income Study","Luxembourg Income Study (LIS)","Own construction based on LIS Database through LISSY","Household Budget Survey (BdF)",NA,"Yes"
"1098",6674,"France","FRA","FR",1994,32.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,5.09,20.45,7.96,12.49,16.77,22.27,40.5,3.22,4.74,5.76,6.74,7.81,8.96,10.25,12.02,14.9,25.6,NA,NA,"Income (net/gross)","Income, net/gross","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",14646,12248,"US$2011PPP","Year",NA,NA,NA,34742,57587120,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","No"
"1099",6688,"France","FRA","FR",1995,36.99,71.34,25.61,29.42,63.68,6.69,12.39,17.56,22.59,58.79,1.6,6.49,18.46,6.79,11.67,15.98,21.51,44.06,2.46,4.33,5.33,6.34,7.4,8.57,9.89,11.62,14.53,29.53,0.83,20.26,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",55995,44585,"Euro","Year",NA,NA,NA,35346,57801888,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Community Household Panel (ECHP)",NA,"No"
"1100",6697,"France","FRA","FR",1996,31.51,38.3,17.25,17.74,24.26,4.27,8.26,12.08,15.84,43.37,1.19,4.97,20.75,7.97,12.78,17.01,22.61,39.63,3.18,4.78,5.86,6.92,7.92,9.08,10.42,12.19,14.88,24.75,1.28,15.29,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",56643,47900,"Euro","Year",NA,NA,NA,35719,58012056,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Community Household Panel (ECHP)",NA,"No"
"1101",6708,"France","FRA","FR",1997,30.93,49.31,16.95,16.82,22.35,4.07,7.95,11.72,15.59,49.65,1.16,4.86,20.94,8.06,12.88,17.21,22.69,39.16,3.27,4.79,5.89,6.98,8.03,9.17,10.53,12.16,14.94,24.22,1.33,14.79,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",58097,49698,"Euro","Year",NA,NA,NA,36424,58220656,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Community Household Panel (ECHP)",NA,"No"
"1102",6719,"France","FRA","FR",1998,31.22,62.48,17.63,17.52,24.74,4.23,8.22,12.13,16.16,55.55,1.17,4.97,20.77,7.9,12.87,17.21,22.78,39.24,3.1,4.8,5.93,6.94,8.03,9.17,10.57,12.21,14.9,24.33,1.23,15.05,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",59068,50593,"Euro","Year",NA,NA,NA,37593,58444248,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Community Household Panel (ECHP)",NA,"No"
"1103",6729,"France","FRA","FR",1999,30.29,29.7,15.93,16.48,24.19,3.96,7.67,11.23,14.73,37.26,1.12,4.72,21.24,8.17,13.07,17.39,22.82,38.54,3.22,4.95,6,7.07,8.14,9.25,10.56,12.26,14.83,23.71,1.32,14.5,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",60370,52213,"Euro","Year",NA,NA,NA,38679,58704384,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Community Household Panel (ECHP)",NA,"No"
"1104",6740,"France","FRA","FR",2000,31.87,25.91,17.72,21.65,51.67,4.9,9.06,12.77,16.24,34.13,1.23,5,20.8,7.99,12.81,16.95,22.29,39.96,3.24,4.75,5.87,6.94,7.92,9.03,10.33,11.95,14.45,25.51,1.36,16.55,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",62568,52680,"Euro","Year",NA,NA,NA,39923,59015092,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Community Household Panel (ECHP)",NA,"No"
"1105",6764,"France","FRA","FR",2001,30.34,23.13,15.85,16.98,26.68,4.04,7.76,11.27,14.66,31.63,1.12,4.73,21.22,8.15,13.07,17.46,22.77,38.56,3.33,4.82,5.98,7.1,8.19,9.26,10.5,12.27,14.85,23.71,1.35,14.76,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",63131,54941,"Euro","Year",NA,NA,NA,40419,59384124,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Community Household Panel (ECHP)",NA,"No"
"1106",6774,"France","FRA","FR",2002,29.16,34.8,14.88,14.71,18.33,3.59,7.04,10.42,13.82,41.04,1.05,4.52,21.71,8.32,13.38,17.81,22.85,37.63,3.36,4.96,6.13,7.25,8.39,9.42,10.63,12.22,14.82,22.81,1.37,13.71,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",65195,58336,"Euro","Year",NA,NA,NA,40582,59803432,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Community Household Panel (ECHP)",NA,"No"
"1107",6783,"France","FRA","FR",2003,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Income (net)","Income, net","Equivalized","OECD-modified","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",NA,NA,NA,NA,0.886034166666667,NA,NA,40627,60251588,"New 2007","High",11,"Eurostat","European Commission 2006",NA,NA,NA,"No"
"1108",6787,"France","FRA","FR",2004,31.54,21.56,16.87,18.63,34.67,4.38,8.34,12.02,15.52,30.13,1.2,4.89,20.95,8.16,12.79,16.86,22.3,39.89,3.21,4.95,5.92,6.87,7.89,8.97,10.26,12.04,14.69,25.21,1.23,15.81,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",12021,10086,"Euro","Year",NA,NA,NA,41470,60697976,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"No"
"1109",6794,"France","FRA","FR",2005,30.8,36.44,15.78,16.74,22.76,4.02,7.75,11.25,14.6,42.15,1.15,4.71,21.26,8.34,12.92,16.98,22.45,39.31,3.33,5,5.96,6.96,7.94,9.04,10.34,12.11,14.78,24.53,1.31,15.18,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",12479,10572,"Euro","Year",NA,NA,NA,41843,61120128,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"No"
"1110",6814,"France","FRA","FR",2006,29.93,24.29,15.13,16.21,22.88,3.87,7.46,10.82,14.04,32.69,1.1,4.54,21.74,8.5,13.24,17.16,22.55,38.55,3.39,5.1,6.15,7.09,8.06,9.1,10.44,12.11,14.58,23.97,1.35,14.92,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",12544,10700,"Euro","Year",NA,NA,NA,42570,61508924,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"No"
"1111",6821,"France","FRA","FR",2007,29.91,18.58,14.87,15.54,21.56,3.75,7.26,10.6,13.82,27.1,1.09,4.62,21.54,8.29,13.24,17.34,22.77,38.35,3.28,5.01,6.13,7.11,8.12,9.22,10.57,12.21,14.78,23.58,1.27,14.33,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",12557,10810,"Euro","Year",NA,NA,NA,43334,61869232,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"No"
"1112",6832,"France","FRA","FR",2008,32.63,20.49,17.63,19.85,31.48,4.67,8.84,12.65,16.16,29.07,1.27,5.16,20.63,7.93,12.7,16.48,21.94,40.95,3.12,4.81,5.9,6.8,7.69,8.79,10.1,11.83,14.66,26.3,1.22,16.81,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",15490,12658,"Euro","Year",NA,NA,NA,43202,62209208,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"No"
"1113",6844,"France","FRA","FR",2009,33.1,23.53,18.51,21.61,38.86,5.01,9.38,13.3,16.9,32,1.31,5.27,20.41,7.83,12.58,16.48,21.87,41.25,3.14,4.69,5.82,6.76,7.69,8.79,10.08,11.78,14.54,26.71,1.25,17.46,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",16087,13170,"Euro","Year",NA,NA,NA,41745,62542884,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"No"
"1114",6856,"France","FRA","FR",2010,32.81,23.15,18.39,20.16,31.83,4.76,9.06,13.04,16.8,31.65,1.29,5.35,20.35,7.63,12.72,16.76,22.09,40.8,2.95,4.68,5.86,6.86,7.85,8.92,10.19,11.89,14.65,26.15,1.13,16.74,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",16226,13530,"Euro","Year",NA,NA,NA,42350,62879536,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"No"
"1115",6880,"France","FRA","FR",2011,33.78,26.74,19.52,22.35,42.15,5.19,9.74,13.88,17.73,34.85,1.35,5.47,20.05,7.64,12.41,16.33,21.8,41.83,3.01,4.63,5.74,6.67,7.62,8.71,10.03,11.77,14.67,27.16,1.19,17.64,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",16566,13503,"Euro","Year",NA,NA,NA,43069,63222232,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"No (overlapping observation)"
"1116",6892,"France","FRA","FR",2012,33.35,22.2,19,22.5,54.68,5.15,9.61,13.61,17.3,30.75,1.33,5.34,20.27,7.76,12.51,16.43,21.86,41.44,3.05,4.71,5.8,6.72,7.67,8.76,10.12,11.73,14.48,26.96,1.22,17.66,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",17004,13860,"Euro","Year",NA,NA,NA,42996,63564224,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"Yes"
"1117",6904,"France","FRA","FR",2013,33.22,23.06,18.79,21.2,34.5,4.97,9.38,13.4,17.13,31.56,1.32,5.32,20.38,7.77,12.6,16.46,21.78,41.38,3.04,4.73,5.83,6.78,7.71,8.76,10.05,11.73,14.47,26.91,1.18,17.57,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",17179,14105,"Euro","Year",NA,NA,NA,43021,63893520,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"Yes"
"1118",6916,"France","FRA","FR",2014,32.57,23.45,18.03,20.62,43.05,4.8,9.04,12.9,16.5,31.93,1.28,5.16,20.7,7.93,12.77,16.56,21.82,40.93,3.15,4.78,5.9,6.86,7.77,8.79,10.08,11.74,14.52,26.41,1.26,17.13,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",17169,14200,"Euro","Year",NA,NA,NA,43227,64193552,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"Yes"
"1119",6928,"France","FRA","FR",2015,32.41,21.09,17.69,20.24,36.91,4.72,8.9,12.69,16.21,29.66,1.27,5.13,20.64,7.92,12.72,16.76,21.99,40.61,3.12,4.8,5.87,6.85,7.83,8.93,10.16,11.83,14.47,26.15,1.22,16.89,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",17438,14615,"Euro","Year",NA,NA,NA,43553,64453196,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"Yes"
"1120",6940,"France","FRA","FR",2016,32.8,23.81,18.66,23.11,109.65,5.16,9.5,13.39,17.02,32.26,1.3,5.24,20.58,7.82,12.76,16.71,21.76,40.95,3.05,4.77,5.88,6.88,7.83,8.88,10.03,11.72,14.27,26.68,1.2,17.52,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",17674,14777,"Euro","Year",NA,NA,NA,43914,64667588,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"Yes"
"1121",6952,"France","FRA","FR",2017,32.35,24.14,17.51,20.88,100.66,4.73,8.83,12.56,16.06,32.56,1.26,5.23,20.65,7.71,12.94,16.86,22.11,40.38,2.86,4.85,6,6.94,7.93,8.93,10.3,11.81,14.34,26.04,0.99,16.75,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",17725,15015,"Euro","Year",NA,NA,NA,44827,64842512,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"Yes"
"1122",6964,"France","FRA","FR",2018,32.1,19.49,17.2,21.65,131.64,4.79,8.82,12.44,15.8,28.04,1.24,5.17,20.81,7.76,13.04,16.99,22.03,40.17,2.91,4.86,6.02,7.02,7.95,9.04,10.27,11.77,14.27,25.9,1,16.77,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",17801,15068,"Euro","Year",NA,NA,NA,45561,64990512,"New 2021","High",13,"Eurostat","Eurostat microdata","Own construction based on microdata","European Union Statistics on Income and Living Conditions (EU-SILC)",NA,"Yes"
"1123",6974,"France","FRA","FR",2019,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,4.29,22.7,9,13.7,17.2,21.4,38.6,3.7,5.3,6.4,7.3,8.2,9,10,11.4,13.7,24.9,1.6,16.4,"Income (net)","Income, net","Equivalized","OECD-modified","Household","Person","All","All","All","All","Europe","Western Europe","Europe and Central Asia","EU","OECD","High income",26210,22562,"Euro","Year",NA,NA,NA,46184,65129732,"New 2021","High",13,"Eurostat","Eurostat Data browser",NA,"European Union Statistics on Income and Living Conditions (EU-SILC)","https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database","No"
"1124",6975,"Gabon","GAB","GA",1960,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.21,37.26,6.3,1.9,4.4,8.1,14.8,70.8,0.7,1.2,1.9,2.5,3.5,4.6,6.2,8.6,12.8,58,NA,48.3,"Income (net/gross)","Income, net/gross",NA,NA,NA,"Person","All","All","All","All","Africa","Middle Africa","Sub-Saharan Africa","Non-EU","Non-OECD","Upper middle income",NA,NA,NA,NA,0.00407838490368263,NA,NA,9468,500922,NA,"Low",8,"World Bank","Jain 1975","Morrison 1969",NA,NA,"No"
"1125",6979,"Gabon","GAB","GA",1968,64.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.44,21.09,8.5,3.2,5.3,8.8,15.2,67.5,1.5,1.7,2.3,3,3.8,5,6.4,8.8,12.8,54.7,NA,45.3,"Income (net/gross)","Income, net/gross",NA,NA,NA,"Person","All","All","Economically active","Income recipients","Africa","Middle Africa","Sub-Saharan Africa","Non-EU","Non-OECD","Upper middle income",NA,NA,NA,NA,0.00403934819955288,NA,NA,11715,565763,NA,"Low",7,"World Bank","Jain 1975","World Bank. Compilation",NA,NA,"No"
"1126",6982,"Gabon","GAB","GA",1975,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.71,9.3,3.8,5.5,10.5,16.7,63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Income (net)","Income, net",NA,NA,NA,"Household","All","All","All","All","Africa","Middle Africa","Sub-Saharan Africa","Non-EU","Non-OECD","Upper middle income",NA,NA,NA,NA,0.00466607468989429,NA,NA,23741,647538,NA,"Low",9,"Research study","Kervyn 1980",NA,NA,NA,"Yes"
"1127",6986,"Gabon","GAB","GA",1977,63.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.86,7.5,2.9,4.6,9.6,16.6,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Income (net)","Income, net",NA,NA,NA,"Household","All","All","All","All","Africa","Middle Africa","Sub-Saharan Africa","Non-EU","Non-OECD","Upper middle income",NA,NA,NA,NA,0.0040703405884923,NA,NA,25795,676264,NA,"Low",9,"Research study","Kervyn 1980",NA,NA,NA,"Yes"
"1128",6989,"Gabon","GAB","GA",2005,42.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09,8.36,15.88,5.82,10.06,14.36,21.08,48.68,2.27,3.55,4.55,5.51,6.56,7.81,9.42,11.66,15.53,33.15,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Africa","Middle Africa","Sub-Saharan Africa","Non-EU","Non-OECD","Upper middle income",2520,1791,"US$2011PPP","Year",NA,NA,NA,15761,1390550,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"1129",6990,"Gabon","GAB","GA",2017,38.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,7.33,16.9,6.05,10.85,15.74,23,44.37,2.24,3.81,4.85,6,7.21,8.53,10.33,12.67,16.64,27.73,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Africa","Middle Africa","Sub-Saharan Africa","Non-EU","Non-OECD","Upper middle income",3545,2779,"US$2011PPP","Year",NA,NA,NA,15007,2064812,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
